年份,单位,商品,区域,值,属性
2018,千公顷,稻谷, 四  川,1874,种植面积
2018,万吨,稻谷, 四  川,1478.6,产量
2017,千公顷,稻谷, 四  川,1874.93,种植面积
2017,万吨,稻谷, 四  川,1473.7,产量
2016,千公顷,稻谷, 四  川,1990,种植面积
2016,万吨,稻谷, 四  川,1558.2,产量
2015,千公顷,稻谷, 四  川,1990.8,种植面积
2015,万吨,稻谷, 四  川,1552.6,产量
2014,千公顷,稻谷, 四  川,1991.8,种植面积
2014,万吨,稻谷, 四  川,1526.5,产量
2013,千公顷,稻谷, 四  川,1990.7,种植面积
2013,万吨,稻谷, 四  川,1549.5,产量
2012,千公顷,稻谷, 四  川,1997.8,种植面积
2012,万吨,稻谷, 四  川,1536.1,产量
2010,千公顷,稻谷, 四  川,2004.5,种植面积
2010,万吨,稻谷, 四  川,1512.1,产量
2009,千公顷,稻谷, 四  川,2027.1,种植面积
2009,万吨,稻谷, 四  川,1520.2,产量
2008,千公顷,稻谷, 四  川,2035.9,种植面积
2008,万吨,稻谷, 四  川,1497.6,产量
2007,千公顷,稻谷, 四  川,2036.16,种植面积
2007,万吨,稻谷, 四  川,1419.73,产量
2006,千公顷,稻谷, 四  川,2080.6,种植面积
2006,万吨,稻谷, 四  川,1335.9,产量
2005,千公顷,稻谷, 四  川,2087.49,种植面积
2005,万吨,稻谷, 四  川,1505.7,产量
2004,千公顷,稻谷, 四  川,2063.8,种植面积
2004,万吨,稻谷, 四  川,1519.7,产量
2003,千公顷,稻谷, 四  川,2040.31,种植面积
2003,万吨,稻谷, 四  川,1471.912391,产量
2002,千公顷,稻谷, 四  川,2076.1,种植面积
2002,万吨,稻谷, 四  川,1503.7,产量
2001,千公顷,稻谷, 四  川,2093.1,种植面积
2001,万吨,稻谷, 四  川,1428.6,产量
2000,千公顷,稻谷, 四  川,2123.8,种植面积
2000,万吨,稻谷, 四  川,1634.3,产量
2019,千公顷,稻谷, 四  川,1870,种植面积
2019,万吨,稻谷, 四  川,1469.82,产量
2020,千公顷,稻谷, 四  川,1866.32,种植面积
2020,万吨,稻谷, 四  川,1475.33,产量
2021,千公顷,稻谷, 四  川,1875,种植面积
2021,万吨,稻谷, 四  川,1493.4,产量
