站点号,站名,海拔高度(m),经度,纬度,年份,平均气温(℃),平均最高气温(℃),平均最低气温(℃)
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1956,17.22,21.05,13.92
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1957,16.88,20.58,13.6
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1958,16.41,20.29,13.0
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1959,16.45,20.51,12.87
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1960,16.41,20.58,12.53
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1961,16.51,20.44,12.71
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1962,16.5,20.74,12.43
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1963,16.79,21.18,12.73
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1964,16.25,19.88,13.02
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1973,16.94,21.5,12.99
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1974,16.18,20.15,12.28
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1975,16.37,20.35,12.76
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1976,15.55,19.52,12.02
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1977,16.29,20.42,12.41
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1978,16.54,20.87,12.54
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1979,16.47,20.56,12.75
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1980,16.22,20.19,12.46
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1981,16.04,19.82,12.64
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1982,15.88,19.55,12.47
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1983,16.05,20.02,12.51
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1984,15.64,19.41,12.09
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1985,15.85,19.63,12.34
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1986,15.88,19.94,12.04
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1987,16.68,20.99,12.73
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1988,15.87,19.69,12.22
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1989,15.85,19.48,12.64
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1990,16.57,20.61,12.99
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1991,16.33,20.0,13.03
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1992,15.89,19.71,12.31
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1993,16.17,20.0,12.57
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1994,16.84,20.49,13.34
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1995,16.64,20.37,12.98
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1996,16.08,19.76,12.56
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1997,17.84,21.53,13.83
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1998,17.83,21.52,13.78
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,1999,17.43,21.01,13.51
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2000,17.07,20.94,12.86
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2001,17.45,21.6,13.37
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2002,17.31,21.42,13.38
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2003,17.22,21.11,13.5
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2004,17.19,20.89,13.75
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2005,17.12,20.64,13.77
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2006,18.08,21.92,14.33
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2007,18.05,21.73,14.51
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2008,17.32,21.09,13.91
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2009,17.81,21.44,14.39
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2010,17.4,21.04,14.02
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2011,17.22,20.72,13.79
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2012,17.11,20.52,13.95
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2013,18.45,22.68,14.51
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2014,17.72,21.34,14.41
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2015,18.58,22.44,15.04
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2016,18.42,22.22,14.83
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2017,18.27,22.21,14.52
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2018,18.15,22.09,14.42
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2019,18.11,21.63,14.78
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2020,18.4,21.98,14.95
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2021,18.42,22.05,14.96
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2022,18.86,22.71,15.13
56294099999,"SHUANGLIU, CH",495.3,103.947,30.579,2023,11.1,14.93,7.08
